"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Race"	"Race Code"	Count
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"35-39 years"	"35-39"	"White"	"2106-3"	22
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"40-44 years"	"40-44"	"White"	"2106-3"	26
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"45-49 years"	"45-49"	"Black or African American"	"2054-5"	22
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"45-49 years"	"45-49"	"White"	"2106-3"	38
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	43
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"50-54 years"	"50-54"	"White"	"2106-3"	67
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	34
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"55-59 years"	"55-59"	"White"	"2106-3"	61
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	33
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"60-64 years "	"60-64"	"White"	"2106-3"	98
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	38
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"65-69 years"	"65-69"	"White"	"2106-3"	109
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	28
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"70-74 years"	"70-74"	"White"	"2106-3"	98
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	34
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"75-79 years"	"75-79"	"White"	"2106-3"	107
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	22
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"80-84 years"	"80-84"	"White"	"2106-3"	96
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"85+ years"	"85+"	"Black or African American"	"2054-5"	30
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2012"	"2012"	"85+ years"	"85+"	"White"	"2106-3"	92
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2013"	"2013"	"40-44 years"	"40-44"	"White"	"2106-3"	20
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2013"	"2013"	"45-49 years"	"45-49"	"White"	"2106-3"	49
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2013"	"2013"	"50-54 years"	"50-54"	"Black or African American"	"2054-5"	26
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2013"	"2013"	"50-54 years"	"50-54"	"White"	"2106-3"	68
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2013"	"2013"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	46
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2013"	"2013"	"55-59 years"	"55-59"	"White"	"2106-3"	90
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2013"	"2013"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	36
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2013"	"2013"	"60-64 years "	"60-64"	"White"	"2106-3"	81
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2013"	"2013"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	37
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2013"	"2013"	"65-69 years"	"65-69"	"White"	"2106-3"	103
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2013"	"2013"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	37
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2013"	"2013"	"70-74 years"	"70-74"	"White"	"2106-3"	103
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2013"	"2013"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	40
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2013"	"2013"	"75-79 years"	"75-79"	"White"	"2106-3"	103
	"Colon and Rectum"	"21041-21052"	"Alabama"	"01"	"2013"	"2013"	"80-84 years"	"80-84"	"Black or African American"	"2054-5"	27
