"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Race"	"Race Code"	Count
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2012"	"2012"	"45-49 years"	"45-49"	"White"	"2106-3"	18
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2012"	"2012"	"50-54 years"	"50-54"	"White"	"2106-3"	25
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2012"	"2012"	"55-59 years"	"55-59"	"White"	"2106-3"	49
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2012"	"2012"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	16
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2012"	"2012"	"60-64 years "	"60-64"	"White"	"2106-3"	94
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2012"	"2012"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	17
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2012"	"2012"	"65-69 years"	"65-69"	"White"	"2106-3"	102
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2012"	"2012"	"70-74 years"	"70-74"	"White"	"2106-3"	106
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2012"	"2012"	"75-79 years"	"75-79"	"White"	"2106-3"	112
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2012"	"2012"	"80-84 years"	"80-84"	"White"	"2106-3"	97
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2012"	"2012"	"85+ years"	"85+"	"White"	"2106-3"	66
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2013"	"2013"	"50-54 years"	"50-54"	"White"	"2106-3"	31
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2013"	"2013"	"55-59 years"	"55-59"	"Black or African American"	"2054-5"	16
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2013"	"2013"	"55-59 years"	"55-59"	"White"	"2106-3"	65
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2013"	"2013"	"60-64 years "	"60-64"	"White"	"2106-3"	93
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2013"	"2013"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	16
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2013"	"2013"	"65-69 years"	"65-69"	"White"	"2106-3"	117
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2013"	"2013"	"70-74 years"	"70-74"	"White"	"2106-3"	129
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2013"	"2013"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	16
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2013"	"2013"	"75-79 years"	"75-79"	"White"	"2106-3"	115
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2013"	"2013"	"80-84 years"	"80-84"	"White"	"2106-3"	103
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2013"	"2013"	"85+ years"	"85+"	"White"	"2106-3"	82
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2014"	"2014"	"50-54 years"	"50-54"	"White"	"2106-3"	34
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2014"	"2014"	"55-59 years"	"55-59"	"White"	"2106-3"	61
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2014"	"2014"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	20
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2014"	"2014"	"60-64 years "	"60-64"	"White"	"2106-3"	68
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2014"	"2014"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	18
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2014"	"2014"	"65-69 years"	"65-69"	"White"	"2106-3"	118
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2014"	"2014"	"70-74 years"	"70-74"	"White"	"2106-3"	125
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2014"	"2014"	"75-79 years"	"75-79"	"White"	"2106-3"	111
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2014"	"2014"	"80-84 years"	"80-84"	"White"	"2106-3"	96
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2014"	"2014"	"85+ years"	"85+"	"White"	"2106-3"	79
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2015"	"2015"	"50-54 years"	"50-54"	"White"	"2106-3"	33
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2015"	"2015"	"55-59 years"	"55-59"	"White"	"2106-3"	71
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2015"	"2015"	"60-64 years "	"60-64"	"White"	"2106-3"	88
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2015"	"2015"	"65-69 years"	"65-69"	"White"	"2106-3"	119
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2015"	"2015"	"70-74 years"	"70-74"	"Black or African American"	"2054-5"	19
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2015"	"2015"	"70-74 years"	"70-74"	"White"	"2106-3"	139
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2015"	"2015"	"75-79 years"	"75-79"	"White"	"2106-3"	108
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2015"	"2015"	"80-84 years"	"80-84"	"White"	"2106-3"	98
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2015"	"2015"	"85+ years"	"85+"	"White"	"2106-3"	67
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2016"	"2016"	"50-54 years"	"50-54"	"White"	"2106-3"	28
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2016"	"2016"	"55-59 years"	"55-59"	"White"	"2106-3"	51
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2016"	"2016"	"60-64 years "	"60-64"	"Black or African American"	"2054-5"	18
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2016"	"2016"	"60-64 years "	"60-64"	"White"	"2106-3"	71
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2016"	"2016"	"65-69 years"	"65-69"	"Black or African American"	"2054-5"	17
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2016"	"2016"	"65-69 years"	"65-69"	"White"	"2106-3"	105
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2016"	"2016"	"70-74 years"	"70-74"	"White"	"2106-3"	122
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2016"	"2016"	"75-79 years"	"75-79"	"Black or African American"	"2054-5"	16
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2016"	"2016"	"75-79 years"	"75-79"	"White"	"2106-3"	111
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2016"	"2016"	"80-84 years"	"80-84"	"White"	"2106-3"	95
	"Urinary Bladder, invasive and in situ"	"29010"	"Alabama"	"01"	"2016"	"2016"	"85+ years"	"85+"	"White"	"2106-3"	74
	"Urinary Bladder, invasive and in situ"	"29010"	"Alaska"	"02"	"2012"	"2012"	"65-69 years"	"65-69"	"White"	"2106-3"	16
	"Urinary Bladder, invasive and in situ"	"29010"	"Alaska"	"02"	"2013"	"2013"	"65-69 years"	"65-69"	"White"	"2106-3"	17
