"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Race"	"Race Code"	Count
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2012"	"2012"	"40-44 years"	"40-44"	"White"	"2106-3"	28
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2012"	"2012"	"45-49 years"	"45-49"	"White"	"2106-3"	38
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2012"	"2012"	"50-54 years"	"50-54"	"White"	"2106-3"	57
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2012"	"2012"	"55-59 years"	"55-59"	"White"	"2106-3"	78
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2012"	"2012"	"60-64 years "	"60-64"	"White"	"2106-3"	91
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2012"	"2012"	"65-69 years"	"65-69"	"White"	"2106-3"	99
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2012"	"2012"	"70-74 years"	"70-74"	"White"	"2106-3"	80
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2012"	"2012"	"75-79 years"	"75-79"	"White"	"2106-3"	83
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2012"	"2012"	"80-84 years"	"80-84"	"White"	"2106-3"	64
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2012"	"2012"	"85+ years"	"85+"	"White"	"2106-3"	47
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2013"	"2013"	"45-49 years"	"45-49"	"White"	"2106-3"	24
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2013"	"2013"	"50-54 years"	"50-54"	"White"	"2106-3"	51
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2013"	"2013"	"55-59 years"	"55-59"	"White"	"2106-3"	61
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2013"	"2013"	"60-64 years "	"60-64"	"White"	"2106-3"	74
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2013"	"2013"	"65-69 years"	"65-69"	"White"	"2106-3"	95
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2013"	"2013"	"70-74 years"	"70-74"	"White"	"2106-3"	87
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2013"	"2013"	"75-79 years"	"75-79"	"White"	"2106-3"	74
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2013"	"2013"	"80-84 years"	"80-84"	"White"	"2106-3"	63
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2013"	"2013"	"85+ years"	"85+"	"White"	"2106-3"	37
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2014"	"2014"	"35-39 years"	"35-39"	"White"	"2106-3"	19
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2014"	"2014"	"40-44 years"	"40-44"	"White"	"2106-3"	34
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2014"	"2014"	"45-49 years"	"45-49"	"White"	"2106-3"	26
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2014"	"2014"	"50-54 years"	"50-54"	"White"	"2106-3"	48
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2014"	"2014"	"55-59 years"	"55-59"	"White"	"2106-3"	72
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2014"	"2014"	"60-64 years "	"60-64"	"White"	"2106-3"	66
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2014"	"2014"	"65-69 years"	"65-69"	"White"	"2106-3"	92
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2014"	"2014"	"70-74 years"	"70-74"	"White"	"2106-3"	83
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2014"	"2014"	"75-79 years"	"75-79"	"White"	"2106-3"	71
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2014"	"2014"	"80-84 years"	"80-84"	"White"	"2106-3"	55
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2014"	"2014"	"85+ years"	"85+"	"White"	"2106-3"	47
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2015"	"2015"	"40-44 years"	"40-44"	"White"	"2106-3"	27
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2015"	"2015"	"45-49 years"	"45-49"	"White"	"2106-3"	34
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2015"	"2015"	"50-54 years"	"50-54"	"White"	"2106-3"	64
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2015"	"2015"	"55-59 years"	"55-59"	"White"	"2106-3"	81
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2015"	"2015"	"60-64 years "	"60-64"	"White"	"2106-3"	92
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2015"	"2015"	"65-69 years"	"65-69"	"White"	"2106-3"	121
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2015"	"2015"	"70-74 years"	"70-74"	"White"	"2106-3"	103
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2015"	"2015"	"75-79 years"	"75-79"	"White"	"2106-3"	103
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2015"	"2015"	"80-84 years"	"80-84"	"White"	"2106-3"	62
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2015"	"2015"	"85+ years"	"85+"	"White"	"2106-3"	52
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2016"	"2016"	"30-34 years"	"30-34"	"White"	"2106-3"	17
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2016"	"2016"	"35-39 years"	"35-39"	"White"	"2106-3"	23
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2016"	"2016"	"40-44 years"	"40-44"	"White"	"2106-3"	21
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2016"	"2016"	"45-49 years"	"45-49"	"White"	"2106-3"	32
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2016"	"2016"	"50-54 years"	"50-54"	"White"	"2106-3"	50
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2016"	"2016"	"55-59 years"	"55-59"	"White"	"2106-3"	80
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2016"	"2016"	"60-64 years "	"60-64"	"White"	"2106-3"	102
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2016"	"2016"	"65-69 years"	"65-69"	"White"	"2106-3"	119
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2016"	"2016"	"70-74 years"	"70-74"	"White"	"2106-3"	108
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2016"	"2016"	"75-79 years"	"75-79"	"White"	"2106-3"	98
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2016"	"2016"	"80-84 years"	"80-84"	"White"	"2106-3"	77
	"Melanoma of the Skin"	"25010"	"Alabama"	"01"	"2016"	"2016"	"85+ years"	"85+"	"White"	"2106-3"	73
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2012"	"2012"	"35-39 years"	"35-39"	"White"	"2106-3"	17
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2012"	"2012"	"40-44 years"	"40-44"	"White"	"2106-3"	18
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2012"	"2012"	"45-49 years"	"45-49"	"White"	"2106-3"	31
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2012"	"2012"	"50-54 years"	"50-54"	"White"	"2106-3"	68
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2012"	"2012"	"55-59 years"	"55-59"	"White"	"2106-3"	62
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2012"	"2012"	"60-64 years "	"60-64"	"White"	"2106-3"	86
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2012"	"2012"	"65-69 years"	"65-69"	"White"	"2106-3"	129
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2012"	"2012"	"70-74 years"	"70-74"	"White"	"2106-3"	129
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2012"	"2012"	"75-79 years"	"75-79"	"White"	"2106-3"	129
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2012"	"2012"	"80-84 years"	"80-84"	"White"	"2106-3"	96
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2012"	"2012"	"85+ years"	"85+"	"White"	"2106-3"	66
	"Melanoma of the Skin"	"25010"	"Arizona"	"04"	"2013"	"2013"	"35-39 years"	"35-39"	"White"	"2106-3"	16
