"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Race"	"Race Code"	Count
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2012"	"2012"	"55-59 years"	"55-59"	"White"	"2106-3"	28
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2012"	"2012"	"60-64 years "	"60-64"	"White"	"2106-3"	31
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2012"	"2012"	"65-69 years"	"65-69"	"White"	"2106-3"	35
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2012"	"2012"	"70-74 years"	"70-74"	"White"	"2106-3"	34
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2012"	"2012"	"75-79 years"	"75-79"	"White"	"2106-3"	42
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2012"	"2012"	"80-84 years"	"80-84"	"White"	"2106-3"	34
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2012"	"2012"	"85+ years"	"85+"	"White"	"2106-3"	30
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2013"	"2013"	"55-59 years"	"55-59"	"White"	"2106-3"	27
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2013"	"2013"	"60-64 years "	"60-64"	"White"	"2106-3"	23
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2013"	"2013"	"65-69 years"	"65-69"	"White"	"2106-3"	41
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2013"	"2013"	"70-74 years"	"70-74"	"White"	"2106-3"	43
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2013"	"2013"	"75-79 years"	"75-79"	"White"	"2106-3"	41
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2013"	"2013"	"80-84 years"	"80-84"	"White"	"2106-3"	34
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2013"	"2013"	"85+ years"	"85+"	"White"	"2106-3"	26
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2014"	"2014"	"50-54 years"	"50-54"	"White"	"2106-3"	22
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2014"	"2014"	"55-59 years"	"55-59"	"White"	"2106-3"	29
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2014"	"2014"	"60-64 years "	"60-64"	"White"	"2106-3"	22
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2014"	"2014"	"65-69 years"	"65-69"	"White"	"2106-3"	51
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2014"	"2014"	"70-74 years"	"70-74"	"White"	"2106-3"	49
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2014"	"2014"	"75-79 years"	"75-79"	"White"	"2106-3"	34
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2014"	"2014"	"80-84 years"	"80-84"	"White"	"2106-3"	28
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2014"	"2014"	"85+ years"	"85+"	"White"	"2106-3"	25
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2015"	"2015"	"50-54 years"	"50-54"	"White"	"2106-3"	18
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2015"	"2015"	"55-59 years"	"55-59"	"White"	"2106-3"	28
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2015"	"2015"	"60-64 years "	"60-64"	"White"	"2106-3"	40
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2015"	"2015"	"65-69 years"	"65-69"	"White"	"2106-3"	50
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2015"	"2015"	"70-74 years"	"70-74"	"White"	"2106-3"	52
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2015"	"2015"	"75-79 years"	"75-79"	"White"	"2106-3"	44
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2015"	"2015"	"80-84 years"	"80-84"	"White"	"2106-3"	26
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2015"	"2015"	"85+ years"	"85+"	"White"	"2106-3"	24
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2016"	"2016"	"50-54 years"	"50-54"	"White"	"2106-3"	20
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2016"	"2016"	"55-59 years"	"55-59"	"White"	"2106-3"	30
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2016"	"2016"	"60-64 years "	"60-64"	"White"	"2106-3"	21
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2016"	"2016"	"65-69 years"	"65-69"	"White"	"2106-3"	35
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2016"	"2016"	"70-74 years"	"70-74"	"White"	"2106-3"	42
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2016"	"2016"	"75-79 years"	"75-79"	"White"	"2106-3"	45
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2016"	"2016"	"80-84 years"	"80-84"	"White"	"2106-3"	29
	"Leukemias"	"35011-35043"	"Alabama"	"01"	"2016"	"2016"	"85+ years"	"85+"	"White"	"2106-3"	31
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2012"	"2012"	"25-29 years"	"25-29"	"White"	"2106-3"	16
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2012"	"2012"	"45-49 years"	"45-49"	"White"	"2106-3"	19
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2012"	"2012"	"50-54 years"	"50-54"	"White"	"2106-3"	18
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2012"	"2012"	"55-59 years"	"55-59"	"White"	"2106-3"	32
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2012"	"2012"	"60-64 years "	"60-64"	"White"	"2106-3"	35
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2012"	"2012"	"65-69 years"	"65-69"	"White"	"2106-3"	53
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2012"	"2012"	"70-74 years"	"70-74"	"White"	"2106-3"	47
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2012"	"2012"	"75-79 years"	"75-79"	"White"	"2106-3"	64
	"Leukemias"	"35011-35043"	"Arizona"	"04"	"2012"	"2012"	"80-84 years"	"80-84"	"White"	"2106-3"	66
