"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"States"	"States Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Race"	"Race Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2012"	"2012"	"55-59 years"	"55-59"	"White"	"2106-3"	27
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2012"	"2012"	"60-64 years "	"60-64"	"White"	"2106-3"	19
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2012"	"2012"	"65-69 years"	"65-69"	"White"	"2106-3"	28
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2012"	"2012"	"70-74 years"	"70-74"	"White"	"2106-3"	19
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2013"	"2013"	"65-69 years"	"65-69"	"White"	"2106-3"	28
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2013"	"2013"	"75-79 years"	"75-79"	"White"	"2106-3"	17
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2014"	"2014"	"60-64 years "	"60-64"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2014"	"2014"	"70-74 years"	"70-74"	"White"	"2106-3"	16
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2015"	"2015"	"55-59 years"	"55-59"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2015"	"2015"	"65-69 years"	"65-69"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2015"	"2015"	"70-74 years"	"70-74"	"White"	"2106-3"	24
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2016"	"2016"	"55-59 years"	"55-59"	"White"	"2106-3"	21
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2016"	"2016"	"65-69 years"	"65-69"	"White"	"2106-3"	23
	"Brain and Other Nervous System"	"31010-31040"	"Alabama"	"01"	"2016"	"2016"	"70-74 years"	"70-74"	"White"	"2106-3"	21
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2012"	"2012"	"50-54 years"	"50-54"	"White"	"2106-3"	26
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2012"	"2012"	"55-59 years"	"55-59"	"White"	"2106-3"	23
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2012"	"2012"	"60-64 years "	"60-64"	"White"	"2106-3"	31
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2012"	"2012"	"65-69 years"	"65-69"	"White"	"2106-3"	23
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2012"	"2012"	"70-74 years"	"70-74"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2012"	"2012"	"75-79 years"	"75-79"	"White"	"2106-3"	22
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2012"	"2012"	"80-84 years"	"80-84"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2013"	"2013"	"55-59 years"	"55-59"	"White"	"2106-3"	29
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2013"	"2013"	"60-64 years "	"60-64"	"White"	"2106-3"	36
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2013"	"2013"	"65-69 years"	"65-69"	"White"	"2106-3"	23
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2013"	"2013"	"70-74 years"	"70-74"	"White"	"2106-3"	24
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2013"	"2013"	"75-79 years"	"75-79"	"White"	"2106-3"	28
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2013"	"2013"	"80-84 years"	"80-84"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2014"	"2014"	"55-59 years"	"55-59"	"White"	"2106-3"	17
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2014"	"2014"	"60-64 years "	"60-64"	"White"	"2106-3"	24
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2014"	"2014"	"65-69 years"	"65-69"	"White"	"2106-3"	37
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2014"	"2014"	"70-74 years"	"70-74"	"White"	"2106-3"	28
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2014"	"2014"	"75-79 years"	"75-79"	"White"	"2106-3"	22
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2014"	"2014"	"80-84 years"	"80-84"	"White"	"2106-3"	19
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2015"	"2015"	"55-59 years"	"55-59"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2015"	"2015"	"60-64 years "	"60-64"	"White"	"2106-3"	22
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2015"	"2015"	"65-69 years"	"65-69"	"White"	"2106-3"	21
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2015"	"2015"	"70-74 years"	"70-74"	"White"	"2106-3"	25
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2015"	"2015"	"75-79 years"	"75-79"	"White"	"2106-3"	17
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2015"	"2015"	"80-84 years"	"80-84"	"White"	"2106-3"	17
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2016"	"2016"	"50-54 years"	"50-54"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2016"	"2016"	"55-59 years"	"55-59"	"White"	"2106-3"	24
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2016"	"2016"	"60-64 years "	"60-64"	"White"	"2106-3"	22
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2016"	"2016"	"65-69 years"	"65-69"	"White"	"2106-3"	30
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2016"	"2016"	"70-74 years"	"70-74"	"White"	"2106-3"	23
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2016"	"2016"	"75-79 years"	"75-79"	"White"	"2106-3"	27
	"Brain and Other Nervous System"	"31010-31040"	"Arizona"	"04"	"2016"	"2016"	"80-84 years"	"80-84"	"White"	"2106-3"	19
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2013"	"2013"	"55-59 years"	"55-59"	"White"	"2106-3"	18
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2015"	"2015"	"55-59 years"	"55-59"	"White"	"2106-3"	16
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2015"	"2015"	"65-69 years"	"65-69"	"White"	"2106-3"	19
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2015"	"2015"	"70-74 years"	"70-74"	"White"	"2106-3"	19
	"Brain and Other Nervous System"	"31010-31040"	"Arkansas"	"05"	"2016"	"2016"	"55-59 years"	"55-59"	"White"	"2106-3"	16
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"1-4 years"	"1-4"	"White"	"2106-3"	46
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"5-9 years"	"5-9"	"White"	"2106-3"	41
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"10-14 years"	"10-14"	"White"	"2106-3"	24
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"15-19 years"	"15-19"	"White"	"2106-3"	25
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"20-24 years"	"20-24"	"White"	"2106-3"	20
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"25-29 years"	"25-29"	"White"	"2106-3"	32
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"30-34 years"	"30-34"	"White"	"2106-3"	33
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"35-39 years"	"35-39"	"White"	"2106-3"	34
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"40-44 years"	"40-44"	"White"	"2106-3"	45
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"45-49 years"	"45-49"	"White"	"2106-3"	76
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"50-54 years"	"50-54"	"White"	"2106-3"	100
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"55-59 years"	"55-59"	"White"	"2106-3"	120
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"60-64 years "	"60-64"	"White"	"2106-3"	126
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"65-69 years"	"65-69"	"White"	"2106-3"	114
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"70-74 years"	"70-74"	"White"	"2106-3"	96
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"75-79 years"	"75-79"	"White"	"2106-3"	76
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"80-84 years"	"80-84"	"White"	"2106-3"	73
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2012"	"2012"	"85+ years"	"85+"	"White"	"2106-3"	64
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"1-4 years"	"1-4"	"White"	"2106-3"	29
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"5-9 years"	"5-9"	"White"	"2106-3"	33
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"10-14 years"	"10-14"	"White"	"2106-3"	36
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"15-19 years"	"15-19"	"White"	"2106-3"	21
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"20-24 years"	"20-24"	"White"	"2106-3"	26
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"25-29 years"	"25-29"	"White"	"2106-3"	24
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"30-34 years"	"30-34"	"White"	"2106-3"	41
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"35-39 years"	"35-39"	"White"	"2106-3"	43
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"40-44 years"	"40-44"	"White"	"2106-3"	46
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"45-49 years"	"45-49"	"White"	"2106-3"	69
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"50-54 years"	"50-54"	"White"	"2106-3"	91
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"55-59 years"	"55-59"	"White"	"2106-3"	120
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"60-64 years "	"60-64"	"White"	"2106-3"	107
	"Brain and Other Nervous System"	"31010-31040"	"California"	"06"	"2013"	"2013"	"65-69 years"	"65-69"	"White"	"2106-3"	140
